,MonthPE,DayPE,Date,Daily_Temp,Daily_Precipitation,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_GHI,Daily_radiation
2017-04-25,4,25,2017-04-25,28.230769230769226,57.48461538461539,78.56153846153846,1006.9384615384614,194.15384615384616,2.9615384615384617,2.6923076923076925,279.9230769230769,281.0
2017-04-26,4,26,2017-04-26,28.715384615384615,50.30769230769231,74.89230769230768,1006.8461538461538,191.46153846153845,2.9461538461538463,183.15384615384616,294.2307692307692,435.0
2017-04-27,4,27,2017-04-27,28.561538461538454,49.800000000000004,74.85384615384616,1007.523076923077,192.15384615384616,2.5615384615384613,345.6923076923077,218.92307692307693,493.38461538461536
2017-04-28,4,28,2017-04-28,28.115384615384617,55.26923076923077,79.65384615384616,1007.9153846153845,203.23076923076923,1.5923076923076922,142.76923076923077,307.53846153846155,396.7692307692308
2017-04-29,4,29,2017-04-29,28.000000000000004,51.88461538461539,78.91538461538462,1007.6846153846153,193.15384615384616,1.769230769230769,280.7692307692308,232.76923076923077,454.7692307692308
2017-04-30,4,30,2017-04-30,28.661538461538463,51.56153846153846,75.71538461538461,1007.4000000000001,224.69230769230768,2.3615384615384616,387.53846153846155,200.30769230769232,501.9230769230769
2017-05-01,5,1,2017-05-01,27.76153846153846,54.169230769230765,77.73076923076924,1006.976923076923,218.53846153846155,3.0,7.3076923076923075,85.46153846153847,87.61538461538461
2017-05-02,5,2,2017-05-02,28.400000000000002,52.83076923076923,75.6846153846154,1005.9538461538461,230.53846153846155,2.1692307692307695,71.92307692307692,262.6923076923077,309.7692307692308
2017-05-03,5,3,2017-05-03,27.75384615384615,57.33846153846154,81.77692307692307,1005.9384615384616,203.46153846153845,1.3923076923076927,345.7692307692308,220.46153846153845,485.46153846153845
2017-05-04,5,4,2017-05-04,27.26923076923077,55.53846153846155,81.37692307692306,1007.0,276.61538461538464,2.223076923076923,121.53846153846153,313.15384615384613,403.46153846153845
2017-05-05,5,5,2017-05-05,28.261538461538457,55.969230769230776,75.46153846153847,1007.2,215.76923076923077,1.8153846153846158,267.84615384615387,233.07692307692307,454.0
2017-05-06,5,6,2017-05-06,28.930769230769233,55.199999999999996,73.27692307692308,1007.023076923077,192.76923076923077,2.092307692307692,336.2307692307692,222.46153846153845,484.6923076923077
2017-05-07,5,7,2017-05-07,28.684615384615384,51.638461538461534,74.1076923076923,1005.3153846153845,198.3846153846154,1.8769230769230771,163.76923076923077,230.53846153846155,362.84615384615387
2017-05-08,5,8,2017-05-08,28.130769230769225,58.61538461538463,79.37692307692308,1006.1461538461538,197.92307692307693,1.0615384615384615,193.3846153846154,297.38461538461536,428.7692307692308
2017-05-09,5,9,2017-05-09,28.53076923076923,56.1923076923077,76.73076923076923,1005.376923076923,224.84615384615384,2.0769230769230775,100.0,264.9230769230769,341.6923076923077
2017-05-10,5,10,2017-05-10,28.361538461538455,51.43076923076922,77.96153846153845,1006.1307692307694,208.23076923076923,1.9538461538461538,407.0,174.53846153846155,502.0
2017-05-11,5,11,2017-05-11,27.307692307692307,54.346153846153854,81.43076923076923,1007.5461538461537,231.3846153846154,1.2153846153846155,2.230769230769231,106.15384615384616,107.3076923076923
2017-05-12,5,12,2017-05-12,27.561538461538458,58.72307692307693,81.77692307692308,1007.8615384615385,186.6153846153846,1.4692307692307693,390.0769230769231,209.15384615384616,486.7692307692308
2017-05-13,5,13,2017-05-13,28.43846153846154,56.315384615384616,80.53076923076922,1007.1846153846153,229.69230769230768,1.7999999999999998,94.07692307692308,298.2307692307692,379.6923076923077
2017-05-14,5,14,2017-05-14,28.969230769230766,52.36923076923077,76.9076923076923,1007.0230769230768,216.92307692307693,3.4923076923076923,210.3846153846154,261.3076923076923,433.3076923076923
2017-05-15,5,15,2017-05-15,27.807692307692303,53.5,81.97692307692309,1008.053846153846,216.92307692307693,3.1538461538461533,10.615384615384615,283.61538461538464,293.7692307692308
2017-05-16,5,16,2017-05-16,26.32307692307692,56.15384615384616,88.7076923076923,1008.9076923076924,217.6153846153846,2.7,3.076923076923077,213.69230769230768,216.53846153846155
2017-05-17,5,17,2017-05-17,27.35384615384616,53.38461538461539,82.45384615384616,1007.6846153846155,248.23076923076923,1.9769230769230772,403.53846153846155,204.76923076923077,474.38461538461536
